지점번호,지점명,시작일,종료일,장마일수,강수일수,합계강수량
146,전주,1980-06-16,1980-07-30,45,24,570.4
146,전주,1981-06-19,1981-07-14,26,21,320.3
146,전주,1982-07-07,1982-07-29,23,9,113.5
146,전주,1983-06-19,1983-07-24,36,21,414.1
146,전주,1984-06-15,1984-07-13,29,18,484.3
146,전주,1985-06-21,1985-07-18,28,16,446.1
146,전주,1986-06-22,1986-07-25,34,22,380.1
146,전주,1987-07-01,1987-08-08,39,22,589.5
146,전주,1988-06-23,1988-07-27,35,19,278.9
146,전주,1989-06-23,1989-07-29,37,19,469.9
146,전주,1990-06-19,1990-07-19,31,23,480.8
146,전주,1991-06-26,1991-08-02,38,23,456.8
146,전주,1992-07-09,1992-07-23,15,8,244.5
146,전주,1993-06-22,1993-07-30,39,24,616.9
146,전주,1994-06-22,1994-07-06,15,8,114.5
146,전주,1995-06-30,1995-07-27,28,14,163.7
146,전주,1996-06-24,1996-07-22,29,14,327.7
146,전주,1997-06-20,1997-07-18,29,16,503.4
146,전주,1998-06-24,1998-07-28,35,19,331.3
146,전주,1999-06-17,1999-07-20,34,15,213.8
146,전주,2000-06-21,2000-07-16,26,15,273.4
146,전주,2001-06-22,2001-07-21,30,19,296.3
146,전주,2002-06-23,2002-07-23,31,16,178.0
146,전주,2003-06-23,2003-07-25,33,26,713.5
146,전주,2004-06-24,2004-07-17,24,15,249.3
146,전주,2005-06-26,2005-07-18,23,16,386.6
146,전주,2006-06-21,2006-07-29,39,29,560.9
146,전주,2007-06-21,2007-07-24,34,22,329.9
146,전주,2008-06-17,2008-07-26,40,22,377.7
146,전주,2009-06-21,2009-08-03,44,26,569.7
146,전주,2010-06-18,2010-07-28,41,19,226.0
146,전주,2011-06-10,2011-07-10,31,18,464.8
146,전주,2012-06-18,2012-07-17,30,14,333.2
146,전주,2013-06-18,2013-08-02,46,24,446.7
146,전주,2014-07-02,2014-07-29,28,19,221.5
146,전주,2015-06-24,2015-07-29,36,20,193.5
146,전주,2016-06-18,2016-07-16,29,16,320.3
146,전주,2017-06-29,2017-07-29,31,17,188.0
146,전주,2018-06-26,2018-07-09,14,10,289.0
146,전주,2019-06-26,2019-07-28,33,16,233.1
146,전주,2020-06-24,2020-07-31,38,30,682.0
146,전주,2021-07-03,2021-07-19,17,11,220.4
146,전주,2022-06-23,2022-07-25,33,20,262.6
146,전주,2023-06-25,2023-07-26,32,23,868.0
146,전주,2024-06-22,2024-07-27,36,21,486.1
146,전주,2025-06-19,2025-07-01,13,4,152.0
